,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees,MOTE_PREV,MSOV_PREV,MLOV_PREV,MLQVAL_PREV,MOTE,MSOV,MLOV,MLQVAL,UNREALISED,TRD_RESULT_DIFF,Prev_Bal,Bal,TRD_RESULT,Final
200,ARB02173_USD,40367.5,-193110.25,-874.65,0.0,-3586.51,0.0,0.0,0.0,0.0,-4461.16,4605.0,-12736.25,12355.0,53056.17,-17975.0,-226504.9,450392.5,97541.11,201688.85,44484.94,53056.17,97541.11,44484.94,0.0
201,ARB02176_USD,-83072.5,0.0,-6887.55,0.0,-27922.2,0.0,0.0,0.0,0.0,-34809.75,-199625.0,0.0,0.0,689049.8,62750.0,0.0,0.0,833542.55,262375.0,144492.75,689049.8,833542.55,144492.75,0.0
202,ARB02177_USD,-54802.5,0.0,-1088.85,0.0,-2107.73,0.0,0.0,0.0,0.0,-3196.58,-37663.0,0.0,0.0,-2875.6,18582.5,0.0,0.0,-4629.18,56245.5,-1753.5800000000017,-2875.6,-4629.18,-1753.5800000000004,-1.3642420526593924e-12
203,ARB02179_USD,-82732.0,0.0,-2826.0,0.0,-5632.360000000001,0.0,0.0,0.0,0.0,-8458.36,23547.5,0.0,0.0,9661.22,137843.0,0.0,0.0,32766.36,114295.5,23105.14,9661.22,32766.36,23105.14,0.0
204,ARB02180_USD,79194.5,0.0,-1792.95,0.0,-3474.55,0.0,0.0,0.0,0.0,-5267.5,-32606.0,0.0,0.0,12104.66,-80740.0,0.0,0.0,37897.66,-48134.0,25793.0,12104.66,37897.66,25793.000000000004,-3.637978807091713e-12
205,ARB02181_USD,-106738.39,0.0,-4077.9,0.0,-7905.8,0.0,0.0,0.0,0.0,-11983.7,-49756.0,0.0,0.0,-4343.14,114896.5,0.0,0.0,41587.27,164652.5,45930.41,-4343.14,41587.27,45930.409999999996,7.275957614183426e-12
206,ARB02182_USD,42364.5,0.0,-1365.6,0.0,-2624.57,0.0,0.0,0.0,0.0,-3990.17,18660.0,0.0,0.0,1250.17,-7351.0,0.0,0.0,13613.5,-26011.0,12363.330000000002,1250.17,13613.5,12363.33,1.8189894035458565e-12
207,ARB02183_USD,-36022.5,0.0,-3114.9,0.0,-11628.960000000001,0.0,0.0,0.0,0.0,-14743.86,-27595.5,0.0,0.0,46932.44,25685.5,0.0,0.0,49447.08,53281.0,2514.6399999999994,46932.44,49447.08,2514.6399999999994,0.0
208,ARB02184_USD,78431.0,0.0,-6234.75,0.0,-12091.43,0.0,0.0,0.0,0.0,-18326.18,-109393.5,0.0,0.0,10139.32,-67400.0,0.0,0.0,112237.64,41993.5,102098.32,10139.32,112237.64,102098.32,0.0
209,ARB02185_USD,892.5,0.0,-39.6,0.0,-147.84,0.0,0.0,0.0,0.0,-187.44,0.0,0.0,0.0,4762.1,476.0,0.0,0.0,5943.16,476.0,1181.06,4762.1,5943.16,1181.0599999999995,4.547473508864641e-13
210,ARB02187_USD,1055.0,0.0,-14.1,0.0,-48.34,0.0,0.0,0.0,0.0,-62.440000000000005,-3614.0,0.0,0.0,-4586.99,-4356.0,0.0,0.0,-4336.43,-742.0,250.55999999999995,-4586.99,-4336.43,250.5599999999995,4.547473508864641e-13
211,ARB02188_USD,4580.0,0.0,-74.4,0.0,-372.0,0.0,0.0,0.0,0.0,-446.4,-70.0,0.0,0.0,762.4,-100.0,0.0,0.0,4866.0,-30.0,4103.6,762.4,4866.0,4103.6,0.0
212,ARB02190_USD,-1230.0,0.0,-74.1,0.0,-144.14000000000001,0.0,0.0,0.0,0.0,-218.24,-3848.0,0.0,0.0,-9300.72,-322.0,0.0,0.0,-7222.96,3526.0,2077.76,-9300.72,-7222.96,2077.7599999999993,9.094947017729282e-13
213,ARB02191_USD,1007.75,0.0,-63.0,0.0,-51.14,0.0,0.0,0.0,0.0,-114.14,0.0,0.0,0.0,1608.32,0.0,0.0,0.0,2501.93,0.0,893.61,1608.32,2501.93,893.6099999999999,1.1368683772161603e-13
214,ARB02196_USD,5050.0,0.0,-15.0,0.0,-56.0,0.0,0.0,0.0,0.0,-71.0,900.0,0.0,0.0,1499.72,-1737.5,0.0,0.0,3841.22,-2637.5,2341.5,1499.72,3841.22,2341.5,0.0
215,ARB02342_EUR,0.0,0.0,-8.4,0.0,0.0,0.0,0.0,0.0,0.0,-8.4,0.0,0.0,0.0,-233.1,0.0,0.0,0.0,-241.5,0.0,-8.4,-233.1,-241.5,-8.400000000000006,5.329070518200751e-15
216,ARB02342_GBP,110.0,0.0,0.0,-16.24,-6.16,0.0,0.0,0.0,0.0,-22.4,0.0,0.0,0.0,-5741.6,0.0,0.0,0.0,-5654.0,0.0,87.6,-5741.6,-5654.0,87.60000000000036,-3.694822225952521e-13
217,ARB02343_EUR,106390.0,0.0,-539.9100000000001,0.0,-533.6,0.0,0.0,0.0,0.0,-1073.5100000000002,-57020.0,0.0,0.0,-966165.75,-6570.0,0.0,0.0,-810179.51,50450.0,155766.49,-966165.75,-810179.51,155986.24,-219.75
218,ARB02343_EUR,106390.0,0.0,-539.9100000000001,0.0,-533.6,0.0,0.0,0.0,0.0,-1073.5100000000002,-57020.0,0.0,0.0,-966165.75,0.0,0.0,0.0,826943.18,57020.0,162336.49,-966165.75,826943.18,1793108.9300000002,-1630772.4400000002
219,ARB02343_EUR,106390.0,0.0,-539.9100000000001,0.0,-533.6,0.0,0.0,0.0,0.0,-1073.5100000000002,0.0,0.0,0.0,827162.93,-6570.0,0.0,0.0,-810179.51,-6570.0,98746.49,827162.93,-810179.51,-1637342.44,1736088.93
220,ARB02343_EUR,106390.0,0.0,-539.9100000000001,0.0,-533.6,0.0,0.0,0.0,0.0,-1073.5100000000002,0.0,0.0,0.0,827162.93,0.0,0.0,0.0,826943.18,0.0,105316.49,827162.93,826943.18,-219.75,105536.24
221,ARB02343_GBP,-73180.0,0.0,0.0,-464.21000000000004,-220.19,0.0,0.0,0.0,0.0,-684.4000000000001,0.0,0.0,0.0,1064086.32,0.0,0.0,0.0,1064086.32,0.0,-73864.4,1064086.32,1064086.32,0.0,-73864.4
222,ARB02343_GBP,-73180.0,0.0,0.0,-464.21000000000004,-220.19,0.0,0.0,0.0,0.0,-684.4000000000001,0.0,0.0,0.0,1064086.32,-74625.0,0.0,0.0,1195119.4,-74625.0,-148489.4,1064086.32,1195119.4,131033.07999999984,-279522.47999999986
223,ARB02343_GBP,-73180.0,0.0,0.0,-464.21000000000004,-220.19,0.0,0.0,0.0,0.0,-684.4000000000001,1255.0,0.0,0.0,1344863.8,0.0,0.0,0.0,1064086.32,-1255.0,-75119.4,1344863.8,1064086.32,-280777.48,205658.08
224,ARB02343_GBP,-73180.0,0.0,0.0,-464.21000000000004,-220.19,0.0,0.0,0.0,0.0,-684.4000000000001,1255.0,0.0,0.0,1344863.8,-74625.0,0.0,0.0,1195119.4,-75880.0,-149744.4,1344863.8,1195119.4,-149744.40000000014,1.4551915228366852e-10
225,ARB02343_USD,43077.55,0.0,-95.25,-0.5,-1314.3000000000002,0.0,0.0,0.0,-80.04,-1490.0900000000001,8054.8,0.0,0.0,2325706.91,-1908.6,0.0,0.0,2357411.01,-9963.4,31624.060000000005,2325706.91,2357411.01,31704.099999999627,-80.03999999962252
226,ARB02343_USD,43077.55,0.0,-95.25,-0.5,-1314.3000000000002,0.0,0.0,0.0,-80.04,-1490.0900000000001,8054.8,0.0,0.0,2325706.91,0.0,0.0,0.0,-2420.13,-8054.8,33532.66,2325706.91,-2420.13,-2328127.04,2361659.7
227,ARB02343_USD,43077.55,0.0,-95.25,-0.5,-1314.3000000000002,0.0,0.0,0.0,-80.04,-1490.0900000000001,0.0,0.0,0.0,-2340.09,-1908.6,0.0,0.0,2357411.01,-1908.6,39678.86000000001,-2340.09,2357411.01,2359751.0999999996,-2320072.2399999998
228,ARB02343_USD,43077.55,0.0,-95.25,-0.5,-1314.3000000000002,0.0,0.0,0.0,-80.04,-1490.0900000000001,0.0,0.0,0.0,-2340.09,0.0,0.0,0.0,-2420.13,0.0,41587.46000000001,-2340.09,-2420.13,-80.03999999999996,41667.50000000001
229,ARB02345_EUR,0.0,0.0,-6.9,0.0,0.0,0.0,0.0,0.0,0.0,-6.9,0.0,0.0,0.0,-12.3,0.0,0.0,0.0,-19.2,0.0,-6.9,-12.3,-19.2,-6.899999999999999,-1.7763568394002505e-15
230,ARB02345_GBP,-4970.0,0.0,0.0,-15.18,-7.82,0.0,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,6824.0,0.0,0.0,0.0,1831.0,0.0,-4993.0,6824.0,1831.0,-4993.0,0.0
231,ARB02355_USD,1690.0,0.0,-55.8,-9.28,-424.08,0.0,0.0,0.0,0.0,-489.15999999999997,-59.3,0.0,0.0,2625.69,204.4,0.0,0.0,4090.23,263.7,1464.5400000000002,2625.69,4090.23,1464.54,2.2737367544323206e-13
232,ARB02376_EUR,0.0,0.0,-515.7,0.0,0.0,0.0,0.0,0.0,0.0,-515.7,0.0,0.0,0.0,-2344.2,0.0,0.0,0.0,-2859.9,0.0,-515.7,-2344.2,-2859.9,-515.7000000000003,2.2737367544323206e-13
233,ARB02376_GBP,4450.0,0.0,0.0,-997.02,-378.18,0.0,0.0,0.0,0.0,-1375.2,0.0,0.0,0.0,8908.8,4620.0,0.0,0.0,16603.6,4620.0,7694.8,8908.8,16603.6,7694.799999999999,9.094947017729282e-13
234,ARB02402_USD,-1250.0,0.0,-94.5,0.0,-1323.0,0.0,0.0,0.0,0.0,-1417.5,0.0,0.0,0.0,-1601.5,2920.0,0.0,0.0,-1349.0,2920.0,252.5,-1601.5,-1349.0,252.5,0.0
235,ARB02416_EUR,0.0,0.0,-20.4,0.0,0.0,0.0,0.0,0.0,0.0,-20.4,0.0,0.0,0.0,-18.75,0.0,0.0,0.0,-39.15,0.0,-20.4,-18.75,-39.15,-20.4,0.0
236,ARB02416_GBP,-1650.0,0.0,0.0,-74.80000000000001,-31.68,0.0,0.0,0.0,0.0,-106.48000000000002,120.0,0.0,0.0,1392.14,2350.0,0.0,0.0,1865.66,2230.0,473.52,1392.14,1865.66,473.52,0.0
237,ARB02416_USD,9542.4,0.0,-162.60000000000002,-342.0,-1239.0,0.0,0.0,0.0,0.0,-1743.6,3465.4,0.0,0.0,17188.59,-63.6,0.0,0.0,21458.39,-3529.0,4269.799999999999,17188.59,21458.39,4269.799999999999,0.0
238,ARB02418_EUR,0.0,0.0,-96.15,0.0,0.0,0.0,0.0,0.0,0.0,-96.15,0.0,0.0,0.0,-149.85,0.0,0.0,0.0,-246.0,0.0,-96.15,-149.85,-246.0,-96.15,0.0
239,ARB02418_GBP,-2340.0,0.0,0.0,-352.55,-150.85,0.0,0.0,0.0,0.0,-503.4,-740.0,0.0,0.0,2196.55,3620.0,0.0,0.0,3713.15,4360.0,1516.6,2196.55,3713.15,1516.6,0.0
240,ARB02418_USD,22347.4,0.0,-1156.2,-408.0,-14949.2,0.0,0.0,0.0,0.0,-16513.4,-2958.4,0.0,0.0,-38.64,-13288.4,0.0,0.0,-4534.64,-10330.0,-4496.0,-38.64,-4534.64,-4496.0,0.0
241,ARB02421_EUR,387.5,0.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,0.0,6306.65,-162.5,0.0,0.0,6432.65,-162.5,126.0,6306.65,6432.65,126.0,0.0
