,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
ARB01417_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01417_GBP,,,,561.0,,,,,,,,,,
ARB01417_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01417_USD,,,,,27323.840000000004,,,,,,,,,
ARB01445_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01445_EUR,,,,13125.099999999999,,,,,,,,,,
ARB01445_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01445_GBP,,,,,1959.9400000000005,,,,,,,,,
ARB01457_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01457_CAD,,,,1732.0,,,,,,,,,,
ARB01457_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01457_USD,,,,11343.95,,,,,,,,,,
ARB01458_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01458_CAD,,,,,318.0,,,,,,,,,
ARB01458_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01458_USD,,,,5219.630000000005,,,,,,,,,,
ARB01466_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01466_CAD,,,,1884.0,,,,,,,,,,
ARB01466_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01466_USD,,,,,974.0000000000001,,,,,,,,,
ARB01472_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01472_CAD,,,,1220.0,,,,,,,,,,
ARB01472_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01472_USD,,,,,340.0,,,,,,,,,
ARB01476_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01476_USD,,,,,12205.550000000003,,,,,,,,,
ARB01602_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01602_USD,,,,,83.21,,,,,,,,,
ARB01606_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01606_USD,,,,,0.1,,,,,,,,,
ARB02012_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02012_USD,,,,,137807.52000000002,,,,,,,,,
ARB02040_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02040_USD,,,,,826.99,,,,,,,,,
ARB02043_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02043_USD,,,,,17329.420000000013,,,,,,,,,
ARB02044_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02044_USD,,,,221833.68,,,,,,,,,,
ARB02045_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02045_USD,,,,,10621.09,,,,,,,,,
ARB02047_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02047_USD,,,,,4468.529999999999,,,,,,,,,
ARB02052_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02052_USD,,,,,39272.13,,,,,,,,,
ARB02055_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02055_USD,,,,596.0099999999966,,,,,,,,,,
ARB02076_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02076_USD,,,,,89287.81,,,,,,,,,
ARB02102_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02102_USD,,,,,2414.220000000001,,,,,,,,,
ARB02103_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02103_USD,,,,70512.03,,,,,,,,,,
ARB02116_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02116_USD,,,,,11183.21,,,,,,,,,
ARB02118_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02118_USD,,,,1699.54,,,,,,,,,,
ARB02121_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02121_USD,,,,883.6800000000001,,,,,,,,,,
ARB02129_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02129_USD,,,,,4558.690000000002,,,,,,,,,
ARB02132_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02132_USD,,,,,44835.89,,,,,,,,,
ARB02135_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02135_USD,,,,,23601.55,,,,,,,,,
ARB02136_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02136_USD,,,,3229.92,,,,,,,,,,
ARB02145_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02145_USD,,,,,2013.32,,,,,,,,,
ARB02147_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02147_USD,,,,45272.520000000004,,,,,,,,,,
ARB02149_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB02149_USD,,,,4881.02,,,,,,,,,,
