Class_ID,COMMISSION
ARB04119_USD,-30.150000000000002
ARB04120_USD,-21.0
ARB04121_USD,-246.0
ARB04122_USD,-6.3
ARB04157_USD,-86.1
ARB04158_USD,-0.3
ARB04159_USD,-2.1
ARB04160_USD,-28.2
ARB04161_USD,-95.39999999999999
ARB04162_USD,-6.9
ARB04164_USD,-257.4
ARB04165_USD,-121.8
ARB04166_USD,-210.9
ARB04167_USD,-313.79999999999995
ARB04168_USD,-317.4
ARB04336_USD,0.0
ARB04345_USD,-69.30000000000001
ARB04348_EUR,-18.9
ARB04348_USD,-73.5
ARB04357_EUR,-25.5
ARB04384_EUR,-170.4
ARB04384_USD,-259.8
ARB04388_USD,-0.3
ARB04395_EUR,-10584.3
ARB04396_EUR,-10528.2
ARB04401_USD,-52.2
ARB04402_USD,-479.09999999999997
ARB04403_USD,-57.3
ARB04404_EUR,-4.8
ARB04404_USD,-318.0
ARB04405_USD,-39.0
ARB04406_EUR,-1.2
ARB04406_USD,-199.2
ARB04408_EUR,-399.45
ARB04410_USD,-401.70000000000005
ARB04413_EUR,-2.1
ARB04413_USD,-119.10000000000001
ARB04415_USD,-117.0
ARB04418_USD,-95.4
ARB04420_USD,-11.4
ARB04422_USD,-7.5
ARB04451_EUR,-225.3
ARB04451_USD,-372.6
ARB04452_EUR,-201.0
ARB04452_USD,-355.2
ARB04454_EUR,-215.4
ARB04454_USD,-562.8
ARB04459_USD,-2.1
ARB04464_USD,-3.6
ARB04465_USD,-12.3
ARB04466_USD,-16.5
ARB04467_USD,-15.0
ARB04468_USD,-0.9
ARB05057_USD,-1081.95
ARB05357_EUR,-119366.7
ARB06057_USD,-2405.1
ARB06357_USD,-762.6
