,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees
200,ARB02343_USD,24583.2,0.0,-47.25,-0.35,-649.98,0.0,0.0,0.0,-26.76,-724.34
201,ARB02355_USD,-3350.0,0.0,-37.8,-6.3,-287.28,0.0,0.0,0.0,0.0,-331.38
202,ARB02402_USD,-20.0,0.0,-8.7,0.0,-121.8,0.0,0.0,0.0,0.0,-130.5
203,ARB02416_EUR,0.0,0.0,-10.2,0.0,0.0,0.0,0.0,0.0,0.0,-10.2
204,ARB02416_GBP,-350.0,0.0,0.0,-37.4,-16.0,0.0,0.0,0.0,0.0,-53.4
205,ARB02416_USD,-1970.800000000003,0.0,-35.7,-34.8,-394.24,0.0,0.0,0.0,0.0,-464.74
206,ARB02418_EUR,0.0,0.0,-19.65,0.0,0.0,0.0,0.0,0.0,0.0,-19.65
207,ARB02418_GBP,-480.0,0.0,0.0,-72.05,-30.310000000000002,0.0,0.0,0.0,0.0,-102.36
208,ARB02418_USD,3198.3999999999996,0.0,-348.75000000000006,-62.4,-4693.219999999999,0.0,0.0,0.0,0.0,-5104.369999999999
209,ARB02421_EUR,-1887.5,0.0,-96.9,0.0,0.0,0.0,0.0,0.0,0.0,-96.9
210,ARB02421_GBP,-3600.0,0.0,0.0,-174.0,-58.08,0.0,0.0,0.0,0.0,-232.07999999999998
211,ARB02421_USD,-3830.0,0.0,-28.2,-4.71,-214.32,0.0,0.0,0.0,0.0,-247.23
212,ARB02429_CAD,-9396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,ARB02429_EUR,0.0,0.0,-1.35,0.0,0.0,0.0,0.0,0.0,0.0,-1.35
214,ARB02429_GBP,2200.0,0.0,0.0,-4.95,-2.16,0.0,0.0,0.0,0.0,-7.11
215,ARB02429_USD,3687.0,0.0,-121.19999999999999,-118.8,-1028.94,0.0,0.0,0.0,0.0,-1268.94
216,ARB02432_CAD,14814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,ARB02432_USD,145.0,0.0,-27.450000000000003,0.0,-200.55,0.0,0.0,0.0,0.0,-228.0
218,ARB02435_CAD,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,ARB02435_USD,0.0,0.0,-15.3,0.0,-86.7,0.0,0.0,0.0,0.0,-102.0
220,ARB02436_EUR,0.0,0.0,-133.8,0.0,0.0,0.0,0.0,0.0,0.0,-133.8
221,ARB02436_GBP,780.0,0.0,0.0,-490.6,-209.08,0.0,0.0,0.0,0.0,-699.6800000000001
222,ARB02436_USD,6605.399999999994,0.0,-316.8,-19.2,-4376.96,0.0,0.0,0.0,0.0,-4712.96
223,ARB02445_USD,-25220.0,0.0,-263.25,0.0,-3685.5,0.0,0.0,0.0,0.0,-3948.75
224,ARB02447_CAD,9136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,ARB02447_USD,0.0,0.0,-166.05,0.0,-940.95,0.0,0.0,0.0,0.0,-1107.0
226,ARB02449_EUR,0.0,0.0,-42.6,0.0,0.0,0.0,0.0,0.0,0.0,-42.6
227,ARB02449_GBP,0.0,0.0,0.0,-156.2,-65.32000000000001,0.0,0.0,0.0,0.0,-221.51999999999998
228,ARB02449_USD,7678.75,0.0,-205.5,0.0,-2877.0,0.0,0.0,0.0,0.0,-3082.5
229,ARB02452_USD,20050.0,0.0,-3.0,-12.0,-5.6,0.0,0.0,0.0,0.0,-20.6
230,ARB02454_EUR,0.0,0.0,-10.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-10.799999999999999
231,ARB02454_GBP,-2550.0,0.0,0.0,-39.6,-16.64,0.0,0.0,0.0,0.0,-56.24
